time	V(gate)	V(gate)-V(top)	V(state)	V(top)	I(Rd)	(V(gate)-V(top))/-Ix(U1:BE)	Ix(U1:BE)
0.000000000000000e+000	0.000000e+000	0.000000e+000	9.357623e-017	0.000000e+000	6.009948e-012	0.000000e+000	0.000000e+000
9.999999717180685e-010	9.081636e-005	-9.091836e-004	2.339412e-017	9.999999e-004	6.009948e-012	2.000055e+006	4.545793e-010
1.999999943436137e-009	1.814404e-004	-1.818559e-003	8.506933e-023	2.000000e-003	6.009948e-012	2.000037e+006	9.092627e-010
1.999999943436138e-008	1.811739e-003	-1.818826e-002	8.506933e-023	2.000000e-002	6.009948e-012	2.017190e+006	9.016631e-009
3.799999892528662e-008	3.443770e-003	-3.455623e-002	8.506933e-023	3.800000e-002	6.009948e-012	1.997004e+006	1.730403e-008
5.599999841621186e-008	5.077532e-003	-5.092247e-002	8.506933e-023	5.600000e-002	6.009948e-012	1.975924e+006	2.577147e-008
7.399999790713710e-008	6.713026e-003	-6.728697e-002	8.506933e-023	7.400000e-002	6.009948e-012	1.954940e+006	3.441894e-008
9.199999739806233e-008	8.350251e-003	-8.364974e-002	8.506933e-023	9.200000e-002	6.009948e-012	1.934257e+006	4.324645e-008
1.099999968889876e-007	9.989208e-003	-1.000108e-001	8.506933e-023	1.100000e-001	6.009948e-012	1.913936e+006	5.225399e-008
1.279999963799128e-007	1.162990e-002	-1.163701e-001	8.506933e-023	1.280000e-001	6.009948e-012	1.893996e+006	6.144156e-008
2.559999927598256e-007	2.337124e-002	-2.326287e-001	8.506933e-023	2.560000e-001	6.009948e-012	1.603082e+006	1.451134e-007
5.119999855196511e-007	4.773959e-002	-4.642604e-001	7.354042e-023	5.120000e-001	6.009948e-012	8.331588e+005	5.572292e-007
1.000000000000000e-006	9.631613e-002	-9.036839e-001	1.805751e-023	1.000000e+000	6.009948e-012	4.646858e+005	1.944720e-006
1.021690318095871e-006	9.669726e-002	-9.033027e-001	5.981531e-024	1.000000e+000	6.009948e-012	4.651746e+005	1.941857e-006
1.065070954287613e-006	9.745786e-002	-9.025421e-001	-2.742022e-026	1.000000e+000	6.009948e-012	4.661508e+005	1.936159e-006
1.845922405738966e-006	1.105367e-001	-8.894633e-001	-2.803682e-025	1.000000e+000	6.009948e-012	4.826373e+005	1.842923e-006
2.626773857190320e-006	1.230654e-001	-8.769346e-001	-2.470210e-025	1.000000e+000	6.009948e-012	4.991883e+005	1.756721e-006
3.407625308641673e-006	1.350440e-001	-8.649560e-001	7.262148e-026	1.000000e+000	6.009948e-012	5.156056e+005	1.677554e-006
4.188476760093027e-006	1.464726e-001	-8.535274e-001	6.785592e-025	1.000000e+000	6.009948e-012	5.316534e+005	1.605421e-006
4.969328211544380e-006	1.573510e-001	-8.426490e-001	1.570792e-024	1.000000e+000	6.009948e-012	5.470602e+005	1.540322e-006
5.750179662995734e-006	1.676793e-001	-8.323207e-001	2.749320e-024	1.000000e+000	6.009948e-012	5.615219e+005	1.482259e-006
